"var","rel.inf"
"swc_shal_od",60.3107685039554
"stand_height",12.1536975659199
"stand_density",6.03481409163786
"WD",5.07355723396542
"stand_basal_area",4.81735329599798
"pl_median_sapwarea",3.63833751234515
"vpd_od",2.77730541218515
"precip1_od",2.67421614626111
"site_elev",2.51995023773199
