site,Es_var,r_swc,p_swc,s_swc,i_swc,r_vpd,p_vpd,s_vpd,i_vpd,r_sw,p_sw,s_sw,i_sw,r_ta,p_ta,s_ta,i_ta
AUS_RIC_EUC_ELE,Ete_Es_mm_day_y,-0.10020781204573086,0.3586166910137063,-0.5962956394528349,2.155302413451804,-0.29186724181278684,0.006397128150298851,-0.12733554809897946,2.3519651803695787,0.4711471359955202,4.685542829695818e-06,0.0011835803674957973,1.4855152819859065,-0.2045744159478166,0.05883572452666499,-0.019849742758771948,2.635962283614477
AUS_WOM,Eob_Es_mm_day_y,0.18139101027503135,0.03966201559956974,9.009883747808562,10.126321111246352,0.7063870198777176,8.6591386387537e-21,2.1686316925094937,8.968210948825433,0.4263836095572036,4.6970891996997585e-07,0.00899830286319848,5.99824387415896,0.7181364968664489,9.851396905825099e-22,0.35085191248567066,4.947423193789376
AUS_WOM,Eru_Es_mm_day_y,-0.14937871050964605,0.09110530932281807,-3.2147651978831013,5.135989494202603,0.8129049513113221,1.3188714975750798e-31,1.0812845136620168,3.0862162030614657,0.39038576824770954,4.794227414057792e-06,0.003569531392310017,2.20150161947965,0.8260239812055832,2.02943078717451e-33,0.17485039975934405,1.0831168979330923
AUT_TSC,Psy_Es_mm_day_y,0.33649895382498207,0.20253178074681877,4.821284485177779,0.8397671568494673,0.6234899252521289,0.009861689270921336,0.4881169560104396,0.6149132115713852,0.7472005447368587,0.00087901649620244,0.0024520101397513747,0.15560802513529692,0.41809202474737506,0.10706148648569526,0.054507814986528604,0.09633357107530682
CAN_TUR_P39_POS,Pst_Es_mm_day_y,0.6122362381296421,2.5833465841222565e-09,33.270013153753695,0.4534814569186385,0.06866383699889059,0.5502820771986218,0.255050227799728,2.9127247414019664,0.37288871459883016,0.0007731517305186203,0.004589451389950762,0.5298695605767589,-0.20257235956272168,0.07529283662383625,-0.080817270482947,5.093445673098261
CAN_TUR_P39_PRE,Pst_Es_mm_day_y,0.14449677450386414,0.29255232213639004,4.22295702046443,1.7785751553903775,0.1413849247490471,0.3031797809829767,0.2685213737160718,1.898505993814107,0.051980852193521825,0.7062473286448232,0.0003212047919881476,1.9592981659808908,-0.13334000789402353,0.33179468496844944,-0.02445424881171865,2.67843643633186
CAN_TUR_P74,Pst_Es_mm_day_y,0.5252848255174505,1.829288052623452e-06,35.49463936560455,0.23987448634735076,0.02900474266965529,0.8075479131045666,0.10005103511950965,3.1510967977917224,0.501409370065808,6.222918437270148e-06,0.006578725615252985,-0.41474906340636375,-0.07045152860885244,0.5536594316794969,-0.027434577418211988,3.8713171825331876
CHE_DAV_SEE,Pab_mean_y,-0.3139796958398795,0.2362990883269574,-1.7287570645888362,1.1652583418382538,0.8756989527662554,8.796348831389023e-06,0.15753379228171582,0.48382038639472147,0.5264062289797288,0.036193442775839975,0.00047212075342012563,0.4903222637275032,0.5890673691476596,0.016349679589942878,0.009608286931651232,0.5989823771673982
CHE_PFY_CON,Psy_Es_mm_day_y,0.6431447337636763,9.528836626205843e-05,53.33074237716548,-5.873601125244029,-0.15629582366974462,0.40111286928684786,-0.325076139247546,2.4845958907147554,0.2233965486800086,0.22702989657927808,0.004475800889317448,-0.28951906267895255,-0.1106268136957395,0.5535456309733646,-0.0402150392831436,2.9159337369228466
CHE_PFY_IRR,Psy_Es_mm_day_y,0.6961518803284727,0.5097880177932015,4.314628658368614,-0.12382814789752017,0.9771534514944547,0.13634391172780627,0.8829465388056338,-0.08650779435965794,0.5396405290931862,0.6371203171414641,0.0023312986974431847,-0.14052551198086494,0.6134772454164555,0.579540473671592,0.14818018912850664,-2.459691265204322
CZE_BIK,Pab_Es_mm_day_y,0.12032222367166408,0.6953960457332105,4.959793396756298,2.899105776303153,0.598441221762417,0.030715583230400724,1.204600310455524,3.157095487764949,0.7658364305341906,0.0022726839086956376,0.004454901431742284,1.9814728449802983,0.3215841950840149,0.28396684537628186,0.07559448556456226,2.9385729355643306
CZE_LAN,Cbe_Es_mm_day_y,0.055593581904726214,0.7704505434703327,0.2401274517661567,0.7014765730271569,0.9193296276740396,7.353400548971802e-13,0.37756122523804553,0.2972666807871485,0.9082888894766804,4.132025748907782e-12,0.0016031748526453109,-0.022475839199604275,0.7491401747954962,1.90896739369568e-06,0.0420715456109127,-0.1599580554380915
CZE_LAN,Fex_Es_mm_day_y,0.3866533642641181,0.03480018731134674,0.7755781067016743,0.3408381485059033,0.7266847327274426,5.435903665255136e-06,0.13859538157582107,0.4380701834634745,0.8412104862729843,5.844295422464228e-09,0.0006895220521757994,0.2696708858499954,0.5720881744920283,0.0009563372522552118,0.014920210220827183,0.28201688312298334
CZE_LAN,Qro_Es_mm_day_y,-0.4175362630737007,0.02168956319169047,-1.5392063748968783,1.427059568324143,0.8719737322968869,3.49870751253281e-10,0.30563636814074785,0.48046417347670006,0.7729500199212729,5.552565667365888e-07,0.001164377489340655,0.2890084817099391,0.785601634604794,2.708831786102928e-07,0.03765418530953204,0.029349992722479734
CZE_LIZ_LES,Pab_Es_mm_day_y,0.09244067976240262,0.5320326976432814,2.0703318062935856,1.3341283528057908,0.6397753064099105,2.227670736695605e-06,0.8482028325708145,0.7993065268961824,0.08233731031256716,0.5779655740010968,0.0003801890741485989,1.508320164318763,0.6991197518576291,9.200693530655466e-08,0.11266733890227235,-0.39822476395879125
CZE_STI,Fsy_Es_mm_day_y,-0.14171586630007577,0.43911531295685546,-11.471854621622374,8.786688075457947,0.7986032232235245,4.313557633848341e-08,2.6713871208518403,3.1578524918509148,0.8948701823223716,4.946117474399279e-12,0.011099265112532604,0.41571737124312325,0.6954855475140951,9.942674127458326e-06,0.3027805717283712,-0.8239125386849651
DEU_STE_4P5,Fsy_Es_mm_day_y,0.1122677299884604,0.3771082402994732,5.823002301640385,2.8413278974872127,-0.15663555491983516,0.21644615816003482,-0.25609720052896606,3.559501713453596,0.12184786477669345,0.3374827740916303,0.0010086080640085363,2.8678585303816018,-0.05843125106908844,0.6465005087504805,-0.013928837012117909,3.5694057644886907
ESP_ALT_ARM,Pni_Es_mm_day_y,0.65612979586903,2.3889322266683576e-06,6.027489147958881,0.3526856625034217,-0.15486072214079918,0.32745714835383943,-0.10623022110415764,0.8168684024250059,0.5846765553798123,4.783255943906371e-05,0.002622916276007732,-0.6683759000119791,0.0859605414141326,0.5883149879549299,0.010468680650232315,0.3589282355533077
ESP_ALT_ARM,Qfa_Es_mm_day_y,0.32326451380612586,0.03677956814776929,1.8745029053371827,1.0608052370087626,-0.08378264548584417,0.5978350067233686,-0.036277911982980554,1.2117034166511729,0.49752140053287985,0.0008015220574545649,0.001408840808458474,0.45587626890156296,0.10202411856311845,0.5202766688753702,0.00784290706944023,0.9560232305085306
ESP_ALT_ARM,Qil_Es_mm_day_y,0.21332003511325792,0.17496450789735363,1.701709061466137,0.706149060400232,0.11915105687907471,0.45231147261821825,0.07097602812324703,0.6334373229748884,0.49095312857629514,0.0009626184856098464,0.0019125630816105472,-0.1500057737859457,0.331403857243784,0.0320390279627708,0.03504752518258847,-0.038718736103456886
ESP_ALT_HUE,Pni_Es_mm_day_y,0.4485909648401718,0.12416604207800332,3.7995467187224983,1.2057822405247627,-0.483384608266896,0.09423765418821965,-0.13625579858517242,1.5537202545280902,-0.43065085762453853,0.1418237305279731,-0.0016949495903938797,2.1936314920019626,-0.45038660558071836,0.1224837006741972,-0.014901468559256526,1.639997208709502
